Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Anopheles,Potash Cliff > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/109100892/anopheles,2.8,-1,Sport,5.8,1,80,43.3751,-73.82928
Kings and Desperate Men,Rogers Slide > Rogers Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/111983758/kings-and-desperate-men,3.0,-1,Trad,5.8,4,450,43.7974,-73.46669
Circuitous Shit,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/117122650/circuitous-shit,3.0,-1,Trad,5.4,1,140,43.53608,-74.15106
Climb Against Humanity,Split Rock Canyon > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/119661424/climb-against-humanity,3.0,-1,Sport,5.13a/b,1,50,44.22557,-73.38588
Call Ya Motha,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/115152485/call-ya-motha,3.0,-1,Sport,5.11b,1,60,43.9051,-75.1959
Socially distant,Ranney Cliff > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/119484369/socially-distant,3.0,-1,Sport,5.11b,1,70,44.17831,-73.77665
Fear of Gravity,Poke-O-Moonshine Second Tier > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/120813452/fear-of-gravity,3.0,-1,Trad,5.10a,2,120,44.4086,-73.507
Homeschooled,Ranney Cliff > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/119484602/homeschooled,3.0,-1,Trad,5.11c/d PG13,1,70,44.17831,-73.77665
Psychosis,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106868026/psychosis,2.4,-1,Trad,5.9,4,325,44.40783,-73.50371
Talus Man,Good Luck Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/114792619/talus-man,3.0,-1,Trad,5.10d,1,90,43.249,-74.557
Slide Rules,Big Slide Mtn. > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/106928676/slide-rules,3.0,-1,Trad,5.7 PG13,2,250,44.1822,-73.8708
God's Grace (Pure and Simple),Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/117680339/gods-grace-pure-and-simple,3.0,-1,Trad,5.11b,1,70,44.40783,-73.50371
After the Bash,Midway Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/113763464/after-the-bash,3.0,-1,Trad,5.7,4,430,44.51687,-73.82156
Walk the Plank,Jolly Roger Slab > Rogers Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/115194396/walk-the-plank,3.0,-1,Sport,5.10a PG13,2,140,43.7964,-73.46715
Joey Baggadonuts,Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/107864659/joey-baggadonuts,2.7,-1,Trad,5.8,1,140,44.14472,-73.75802
Gun Control Now,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/112498052/gun-control-now,3.0,-1,Trad,5.11d,1,70,44.40783,-73.50371
Scarynac Crack,Baker Mountain > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/113624680/scarynac-crack,3.0,-1,Trad,5.9,1,70,44.3343,-74.1045
Water Streak,Snowy Mt > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107624251/water-streak,2.8,-1,Sport,-5.8,1,45,43.69963,-74.38656
Power of Attorney,The Courthouse > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/112938086/power-of-attorney,3.0,-1,"Trad, TR",5.10a PG13,1,70,44.17651,-73.84421
Bee's Knees,Poke-O-Moonshine Second Tier > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/107856700/bees-knees,3.0,-1,Trad,5.9,1,40,44.4086,-73.507
Batman has it in for Robin,State Brook > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/110934924/batman-has-it-in-for-robin,3.0,-1,"Trad, TR",5.11,1,,43.26951,-74.56834
Monty Python,Main Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/108192848/monty-python,2.8,-1,Trad,5.10a/b,2,180,43.5605,-73.60366
Wide Crack,Lost T > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107564770/wide-crack,2.0,-1,Trad,5.7,1,60,43.2608,-74.5222
Mayflower,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/107183254/mayflower,2.8,-1,Trad,5.10c,3,250,44.40783,-73.50371
Cornerstone,Right of Ladder > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106531439/cornerstone,3.0,-1,Trad,5.5,1,40,43.5378,-73.9677
Winchester Dihedral,Rods'n'Guns Wall > West Ridge > West Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107964166/winchester-dihedral,3.0,-1,Trad,5.9,1,90,43.35897,-73.97185
The Price is Right,Main Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/117719921/the-price-is-right,2.8,-1,Sport,5.11a/b,1,,43.5605,-73.60366
Bon Chance,Good Luck Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107601314/bon-chance,2.8,-1,Trad,5.8,1,100,43.249,-74.557
Moments in Peace,Ausable Buttress > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/121208302/moments-in-peace,3.0,-1,Trad,5.12a,3,185,44.29692,-73.79077
Wine Bottle Slide,Mt Colden > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/110665877/wine-bottle-slide,3.0,-1,Trad,5.7 PG13,1,2150,44.12813,-73.95962
Home Rule,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/113583405/home-rule,2.7,-1,Sport,5.10b,2,190,44.40783,-73.50371
Lewis Elijah,Wallface > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/106444641/lewis-elijah,3.0,-1,Trad,5.9 PG13,8,700,44.137,-74.035
Monkey,Sharp Bridge Campground > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/108220002/monkey,2.7,-1,Trad,5.7,1,80,44.04296,-73.67425
Emily Doesn't Have a Clue,Lost T > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107564801/emily-doesnt-have-a-clue,2.5,-1,Trad,5.8,1,50,43.2608,-74.5222
The Grand Game,Rogers Slide > Rogers Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/111983718/the-grand-game,3.0,-1,Trad,5.6 PG13,2,205,43.7974,-73.46669
Parallel Dreams,Rogers Slide > Rogers Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/113447905/parallel-dreams,3.0,-1,Trad,5.8,3,500,43.7974,-73.46669
Buttress Slide,Dix Mtn. > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/109379516/buttress-slide,3.0,-1,Trad,5.4,2,1450,44.0822,-73.78646
Just Another Pretty Face,Lost Hunters > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/114548001/just-another-pretty-face,3.0,-1,Sport,5.13a,1,80,43.27049,-74.51824
Arette I’m Spooked,South Colton > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/119114165/arette-im-spooked,3.0,-1,"Trad, TR",5.6,1,50,44.4873,-74.8517
Knuckle-Dragger,Neanderthal Cave > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/118872949/knuckle-dragger,3.0,-1,Trad,5.9,1,80,43.55944,-73.60333
Boyz in the Hood,Little Johnson > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/121269349/boyz-in-the-hood,3.0,-1,Sport,5.10c,1,60,43.95547,-73.71427
The Get Down,Chatiemac Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/112222476/the-get-down,3.0,-1,Sport,5.11a,1,45,43.65702,-74.0376
Superman Flake,Sugarloaf > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109473258/superman-flake,3.0,-1,Trad,5.8,3,360,43.75526,-74.46058
Swamp Song,Mud Pond > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/119569234/swamp-song,3.0,-1,Trad,5.9,1,100,44.51125,-73.83192
Moonraker Runout,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/114500528/moonraker-runout,3.0,-1,Trad,5.8+ R,4,500,44.11333,-73.90655
Backwoods Brawl,Mud Pond > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/119560958/backwoods-brawl,3.0,-1,Trad,5.10d,1,85,44.51125,-73.83192
Clampdown,Center of Progress Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/117888085/clampdown,3.0,-1,Trad,5.10,1,115,44.51538,-73.82384
Predatory Instincts,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/111909899/predatory-instincts,3.0,-1,Trad,5.9 R,4,450,44.11333,-73.90655
"Time Bomb, Sundance Link up",Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/118139048/time-bomb-sundance-link-up,3.0,-1,Trad,5.10,1,70,44.06109,-73.66381
Perilous Journey,Wright Peak > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/117549672/perilous-journey,3.0,-1,"Trad, Alpine",5.10d,1,45,44.15174,-73.97953
Master of the Flying Guillotine,Typhoon Wall > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/118838340/master-of-the-flying-guillotine,3.0,-1,Sport,5.11b,1,70,44.21498,-73.70027
Easter Island,Loon Lake Mtn > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/117626267/easter-island,3.0,-1,Trad,5.8,1,85,44.55725,-74.14214
Monkey Pump,The Honey Pot > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/113560633/monkey-pump,3.0,-1,Sport,5.11d,1,50,44.20254,-73.54618
Wide Eyed and Hopeful,Mud Pond > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/119579188/wide-eyed-and-hopeful,3.0,-1,"Trad, Aid",5.9+ A2+,1,90,44.51125,-73.83192
80 grit,Midway Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/117972604/80-grit,3.0,-1,Trad,5.10,1,90,44.51687,-73.82156
Época,The Fortress > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/118708399/epoca,3.0,-1,Sport,5.12a,1,70,44.04003,-73.61361
Rapa Nui,Loon Lake Mtn > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/117626327/rapa-nui,3.0,-1,Trad,5.7,1,85,44.55725,-74.14214
Judgement Day,The Crown > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/112496779/judgement-day,3.0,-1,Sport,5.12c,1,80,44.07433,-73.68993
Buzz Off,Pinnacle Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/113686835/buzz-off,3.0,-1,Trad,5.12b,1,60,43.22134,-74.38248
Queen For a Day,Good Luck Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/111349379/queen-for-a-day,3.0,-1,Trad,5.12a,1,90,43.249,-74.557
Sundowner,Sleeping Beauty Mountain > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/107219400/sundowner,2.6,-1,Trad,5.7,1,50,43.5518,-73.54954
Prom Night Trickery,Deerfly Slab > Inman Slabs > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/113390311/prom-night-trickery,3.0,-1,Trad,5.6 PG13,1,90,44.5695,-74.09499
Feeding the Rat,Pinnacle Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/110747213/feeding-the-rat,3.0,-1,Trad,5.11,1,50,43.22134,-74.38248
Serenity Prayer,Summit Dome > Moxham Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/112069244/serenity-prayer,3.0,-1,"Trad, TR",5.8- PG13,1,215,43.75192,-73.9953
Gamma Ray Arete,Right End > Starbuck Right > Starbuck Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109431453/gamma-ray-arete,3.0,-1,"Trad, TR",5.9,1,70,43.77338,-74.08842
Geriatric Profanity Disorder,Huckleberry Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/108642290/geriatric-profanity-disorder,3.0,-1,Trad,5.10a,1,80,43.78244,-74.26537
Chesty Puller,Upper South Corner Cliffs > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/109652068/chesty-puller,3.0,-1,Trad,5.11a,1,90,43.5378,-73.9677
Four Guns Blazing,The King Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106078504/four-guns-blazing,2.6,-1,Sport,5.11d,1,50,44.13223,-73.74423
Approach Shoe Assassin,Otter Lake Cliff > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/107020209/approach-shoe-assassin,3.0,-1,Sport,5.10d,1,30,43.1936,-74.4966
Variety Crack,3 - Right Side Taper > Slanting Cracks Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107921416/variety-crack,3.0,-1,Trad,5.10a,1,155,43.5378,-73.9677
Adirondack Rehabilitation,Black Arches Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106603598/adirondack-rehabilitation,2.5,-1,Trad,5.10a R,1,130,43.5431,-73.95414
Buckwheat,Snowy Mt > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106523339/buckwheat,2.7,-1,"Sport, Aid",5.9- A0,2,120,43.69963,-74.38656
Queer Eye for the Straight Line,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/121139996/queer-eye-for-the-straight-line,3.0,-1,Sport,5.12b,1,60,43.9051,-75.1959
Asteroid,Snowy Mt > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/107624256/asteroid,2.7,-1,Sport,5.8,1,45,43.69963,-74.38656
Good Dough,The Barkeater Cliff > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/106882525/good-dough,1.9,-1,"Trad, TR",5.5,1,80,44.25695,-73.8634
Bipolar Express (Don's Long Climb),State Brook > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/112004780/bipolar-express-dons-long-climb,2.7,-1,Trad,5.9,1,100,43.26951,-74.56834
Black Widow,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/117102444/black-widow,3.0,-1,Trad,5.12c,1,80,44.1454,-73.75082
Luceo Non Uro,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/119000178/luceo-non-uro,3.0,-1,Trad,5.8+ PG13,1,80,44.11333,-73.90655
Whips and Chains Excite Me,Serac Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/121470046/whips-and-chains-excite-me,3.0,-1,Sport,5.12a,1,70,44.138,-73.74257
Sagrada Familia,Gothics > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/113783966/sagrada-familia,3.0,-1,Trad,5.6 PG13,2,205,44.1258,-73.8586
Apocryphon,Avalanche Lake Campsite Wall > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/120257010/apocryphon,3.0,-1,Trad,5.6,1,80,44.12876,-73.96963
Lost Boys Crack,Avalanche Lake Campsite Wall > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/120257033/lost-boys-crack,3.0,-1,Trad,5.10,1,80,44.12876,-73.96963
Touran,Ark Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/110645153/touran,2.0,-1,Sport,5.7 PG13,1,60,43.56076,-73.5939
Practically Roadside,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/119113972/practically-roadside,3.0,-1,Trad,5.9,1,100,44.11333,-73.90655
Burly Squirrel,Underwood Canyon > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/119680704/burly-squirrel,3.0,-1,Trad,5.10d,1,90,44.08727,-73.68867
Dixie Normus,Lost T > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/119255554/dixie-normus,3.0,-1,"Trad, TR",5.10b,1,80,43.2608,-74.5222
Verdon,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/119002541/verdon,3.0,-1,Sport,5.11b,1,70,44.40783,-73.50371
Autumn Flare,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/121358774/autumn-flare,3.0,-1,TR,5.10d,1,70,44.40783,-73.50371
Rolling Stone,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/115368663/rolling-stone,3.0,-1,Trad,5.7,1,100,43.9051,-75.1959
Pobrecito,Main Cliff > Shanty Cliff > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/117393717/pobrecito,3.0,-1,"Trad, TR",5.8,1,80,43.53608,-74.15106
Welcome to the Jungle,Underwood Canyon > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/119610325/welcome-to-the-jungle,3.0,-1,Sport,5.12d,1,90,44.08727,-73.68867
JUICE!,The Outpost > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/119963313/juice,3.0,-1,Sport,5.12d,1,40,44.13498,-73.65618
Toes Where They Don't Belong,Sweet Fern Hill > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/120738078/toes-where-they-dont-belong,3.0,-1,Sport,5.8,1,50,43.99125,-73.6508
Interstate Love Climb,Cloudspin Cliff > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/121304790/interstate-love-climb,3.0,-1,Trad,5.10a/b,2,140,44.34623,-73.8617
Oscar's Pillow Toss,Upper Washbowl Cliff > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/119846654/oscars-pillow-toss,3.0,-1,Trad,5.11b/c,2,110,44.14256,-73.7438
Cracked,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/119058596/cracked,3.0,-1,Trad,5.9,1,65,43.9051,-75.1959
Briefcase,Case Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/117125727/briefcase,3.0,-1,Sport,5.12d,1,35,44.14701,-73.76368
Peace In Our Climbs,The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/106523707/peace-in-our-climbs,2.8,-1,Trad,5.12+ R,1,70,44.1454,-73.75082
Super Slab,Ragged Mountain > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/118751589/super-slab,3.0,-1,Sport,5.12c,1,70,43.9609,-73.8628
Trigger Warning,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/119532591/trigger-warning,3.0,-1,Trad,5.10b PG13,2,180,44.11333,-73.90655
Salad Days,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106558911/salad-days,3.0,-1,Sport,5.13a,1,90,44.40783,-73.50371
Octo-Pussy,The Creature Wall > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/109534435/octo-pussy,2.1,-1,Trad,5.7,1,70,44.1411,-73.74312
Cat Scratch Fever,Upper Measles Wall > Measles Walls > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/106822059/cat-scratch-fever,2.4,-1,Sport,5.9,1,40,43.5378,-73.9677
On Slot,Pinnacle Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/115332005/on-slot,3.0,-1,Trad,5.13b,1,100,43.22134,-74.38248
Munchky Microarete,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/113483012/munchky-microarete,3.0,-1,Sport,5.12a,1,120,44.40783,-73.50371
Anorthofright,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/113531447/anorthofright,3.0,-1,Trad,5.9- PG13,5,710,44.11333,-73.90655
Roy Batty,Sweet Fern Hill > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/120696178/roy-batty,3.0,-1,Trad,5.9,1,50,43.99125,-73.6508
Arch Crack,Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York,https://www.mountainproject.com/route/106780180/arch-crack,3.0,-1,Trad,5.10a,1,50,44.40783,-73.50371
Jaw Gains,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/114561613/jaw-gains,3.0,-1,TR,5.10a,1,90,43.9051,-75.1959
Drake Equation,UFO Wall > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/119010768/drake-equation,3.0,-1,Trad,5.10c PG13,1,80,44.22335,-73.87387
Fermi's Paradox,UFO Wall > C: Keene Region > Adirondacks > New York,https://www.mountainproject.com/route/119015545/fermis-paradox,3.0,-1,Trad,5.11b PG13,1,70,44.22335,-73.87387
Fast and Loose,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/114621607/fast-and-loose,3.0,-1,Trad,5.11c,1,65,43.9051,-75.1959
Cracks of My Tears,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/117313247/cracks-of-my-tears,3.0,-1,Trad,5.10a PG13,1,115,44.11333,-73.90655
Hot Flash,Boxcar > B: Chapel Pond Pass > Adirondacks > New York,https://www.mountainproject.com/route/116167171/hot-flash,3.0,-1,"Sport, TR",5.12a,1,70,44.10826,-73.72038
Slacker Cracker,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/113205555/slacker-cracker,3.0,-1,Trad,5.9 PG13,1,100,44.11333,-73.90655
Imposter Syndrome,Eagle Cliff > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/119871388/imposter-syndrome,3.0,-1,Trad,5.5 PG13,1,50,43.5108,-73.6158
Twin Rises,Twin Falls Cliff > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/119813515/twin-rises,3.0,-1,TR,5.9 PG13,1,60,44.33737,-75.02798
Oral in the Dark,Eagle Falls > I: Old Forge Region > Adirondacks > New York,https://www.mountainproject.com/route/110863163/oral-in-the-dark,3.0,-1,"Trad, TR",5.10c R,1,50,43.9051,-75.1959
Sasquatch Hunting,Potash Cliff > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/110121764/sasquatch-hunting,3.0,-1,Sport,-5.13,2,80,43.3751,-73.82928
Dreadnaught,Sugarloaf > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/111531064/dreadnaught,3.0,-1,Trad,5.8,3,300,43.75526,-74.46058
Jack in the Pulpit,Pulpit Rock > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/111972914/jack-in-the-pulpit,3.0,-1,Trad,5.8,1,60,44.3121,-73.96722
Old School,Jackass Buttress > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/118996080/old-school,3.0,-1,Trad,5.8,1,60,43.55552,-73.60298
Wreck of the Lichen Fitzgerald,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/109375411/wreck-of-the-lichen-fitzgerald,3.0,-1,Trad,5.8+ PG13,3,470,44.11333,-73.90655
Last Grasp,Mud Pond > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/119629941/last-grasp,3.0,-1,Trad,5.9 PG13,1,90,44.51125,-73.83192
Cannonball,Pinnacle Mountain > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/115446677/cannonball,3.0,-1,Sport,5.12b,1,70,43.22134,-74.38248
Paul and Tom's Morning Show,Azure Mountain > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/115419571/paul-and-toms-morning-show,3.0,-1,Trad,5.10,1,110,44.54125,-74.50099
Eye of Sauron,Polar Soldier Wall > D: Wilmington Region > Adirondacks > New York,https://www.mountainproject.com/route/111999090/eye-of-sauron,3.0,-1,Sport,5.13a,1,55,44.3626,-73.86373
The Dark Side,Sugarloaf > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/111753447/the-dark-side,3.0,-1,Trad,5.9,3,300,43.75526,-74.46058
"Thank You, Cindy",Firecamp Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York,https://www.mountainproject.com/route/113922598/thank-you-cindy,3.0,-1,"Trad, TR",5.7,1,90,43.5378,-73.9677
Vagtastic Voyage,Carhartt Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/111000681/vagtastic-voyage,3.0,-1,Trad,5.11c,1,110,43.55552,-73.60298
Promised Land,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/111060665/promised-land,3.0,-1,Trad,5.8 PG13,3,410,44.11333,-73.90655
Galaxy of Tears,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/111945546/galaxy-of-tears,3.0,-1,Trad,5.9 PG13,4,600,44.11333,-73.90655
Hells Yeah!,The Choss Factory > H: Southern Mountains > Adirondacks > New York,https://www.mountainproject.com/route/114391247/hells-yeah,3.0,-1,Sport,5.12a,1,95,43.2618,-74.56091
Panther's Fang,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/111737779/panthers-fang,3.0,-1,Trad,5.8+ PG13,1,110,44.11333,-73.90655
Watery Grave,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/109533951/watery-grave,3.0,-1,TR,5.10a,1,170,44.11333,-73.90655
Rumours of War,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/110740096/rumours-of-war,3.0,-1,Trad,5.9 R,3,405,44.11333,-73.90655
Loaded  for Bear,Midway Cliff > Silver Lake > K: Northern Region > Adirondacks > New York,https://www.mountainproject.com/route/113763609/loaded-for-bear,3.0,-1,Trad,5.9,3,430,44.51687,-73.82156
CrazyDog's Halo,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/109534076/crazydogs-halo,3.0,-1,Trad,5.8 PG13,3,500,44.11333,-73.90655
For Whom the Lichen Tolls,Panther Gorge > E: High Peaks Region > Adirondacks > New York,https://www.mountainproject.com/route/109379158/for-whom-the-lichen-tolls,3.0,-1,Trad,5.9 PG13,1,40,44.11333,-73.90655
Wet Hot American Pumper,Devil's Washdish > F: Lake George Region > Adirondacks > New York,https://www.mountainproject.com/route/113189569/wet-hot-american-pumper,3.0,-1,Sport,5.11b,1,100,43.82485,-73.61212
